countyName,perCapitaPersonalIncome
"Monroe, KY",20151
"Montgomery, KY",22203
"Morgan, KY",15891
"Muhlenberg, KY",21499
"Nelson, KY",26471
"Nicholas, KY",22528
"Ohio, KY",20641
"Oldham, KY",35321
"Owen, KY",18638
"Owsley, KY",18541
"Pendleton, KY",20898
"Perry, KY",22930
"Pike, KY",22460
"Powell, KY",19182
"Pulaski, KY",23360
"Robertson, KY",18488
"Rockcastle, KY",17820
"Rowan, KY",20645
"Russell, KY",19899
"Scott, KY",28038
"Shelby, KY",29187
"Simpson, KY",25302
"Spencer, KY",21635
"Taylor, KY",21670
"Todd, KY",21636
"Trigg, KY",28663
"Trimble, KY",17971
"Union, KY",25218
"Warren, KY",27267
"Washington, KY",22375
"Wayne, KY",18865
"Webster, KY",28709
"Whitley, KY",20310
"Wolfe, KY",17513
"Woodford, KY",37828
"Acadia, LA",22116
"Allen, LA",18030
"Ascension, LA",27578
"Assumption, LA",26193
"Avoyelles, LA",20016
"Beauregard, LA",21964
"Bienville, LA",21368
"Bossier, LA",26474
"Caddo, LA",30282
"Calcasieu, LA",26676
"Caldwell, LA",20371
"Cameron, LA",18866
"Catahoula, LA",19449
"Claiborne, LA",22807
"Concordia, LA",20784
"De Soto, LA",23245
"East Baton Rouge, LA",30866
"East Carroll, LA",18647
"East Feliciana, LA",23755
"Evangeline, LA",18874
"Franklin, LA",19703
"Grant, LA",21292
"Iberia, LA",24846
"Iberville, LA",23304
"Jackson, LA",24232
"Jefferson, LA",32173
"Jefferson Davis, LA",20777
"Lafayette, LA",31084
"Lafourche, LA",26957
"La Salle, LA",20516
"Lincoln, LA",23098
"Livingston, LA",22622
"Madison, LA",18204
"Morehouse, LA",20895
"Natchitoches, LA",23313
"Orleans, LA",30946
"Ouachita, LA",26332
"Plaquemines, LA",24984
